,Province,StationId,Station Name,Longitude (x),Latitude (y),Elevation (m)
0,NEWFOUNDLAND,52541,WABUSH A,-66.86,52.92,551.4
1,NEWFOUNDLAND,51918,MARY'S HARBOUR A,-55.85,52.3,10.6
2,NEWFOUNDLAND,55078,HAPPY VALLEY GOOSE BAY,-60.56,53.41,38.0
3,NEWFOUNDLAND,6777,GOOSE BAY A,-60.42,53.32,48.8
4,NEWFOUNDLAND,49629,CHURCHILL FALLS A,-64.11,53.56,439.5
5,NEWFOUNDLAND,53958,CARTWRIGHT A,-57.04,53.68,14.3
6,NEWFOUNDLAND,45307,WRECKHOUSE,-59.31,47.71,31.7
7,NEWFOUNDLAND,54898,WINTERLAND BRANCH HILL,-55.33,47.14,29.26
8,NEWFOUNDLAND,7083,TWILLINGATE (AUT),-54.8,49.68,92.3
9,NEWFOUNDLAND,27142,TERRA NOVA NAT PARK CS,-53.97,48.56,106.7
10,NEWFOUNDLAND,47607,STEPHENVILLE RCS,-58.57,48.56,58.0
11,NEWFOUNDLAND,52759,STEPHENVILLE A,-58.55,48.54,24.7
12,NEWFOUNDLAND,45567,ST LAWRENCE,-55.38,46.92,48.5
13,NEWFOUNDLAND,48871,ST JOHNS WEST CLIMATE,-52.78,47.51,110.0
14,NEWFOUNDLAND,50089,ST. JOHN'S INTL A,-52.75,47.62,140.5
15,NEWFOUNDLAND,48348,ST. ANTHONY A,-56.07,51.39,32.9
16,NEWFOUNDLAND,54640,PORT AUX BASQUES,-59.15,47.57,39.7
17,NEWFOUNDLAND,50678,MILLERTOWN RCS,-56.54,48.82,203.6
18,NEWFOUNDLAND,6669,LETHBRIDGE,-53.9,48.35,15.2
19,NEWFOUNDLAND,6668,LA SCIE,-55.67,49.92,194.0
20,NEWFOUNDLAND,30346,GANDER AIRPORT CS,-54.57,48.95,151.0
21,NEWFOUNDLAND,50088,GANDER INTL A,-54.57,48.94,151.2
22,NEWFOUNDLAND,9034,FEROLLE POINT (AUT),-57.1,51.02,5.8
23,NEWFOUNDLAND,50068,DEER LAKE A,-57.39,49.21,21.9
