,Station Name,Province,Climate ID,StationId,Latitude (y),Longitude (x),Elevation (m),First Year,Last Year,Status,Null pourcent
0,CHEMAINUS,BRITISH COLUMBIA,1011500,26,48.94,-123.74,75.0,1919,2023,True,2.152560083594566
1,LAKE COWICHAN,BRITISH COLUMBIA,1012055,40,48.83,-124.05,171.0,1960,2023,False,45.55903866248694
2,DISCOVERY ISLAND,BRITISH COLUMBIA,1012475,27226,48.42,-123.23,18.93,1997,2023,False,33.66771159874608
3,ESQUIMALT HARBOUR,BRITISH COLUMBIA,1012710,52,48.43,-123.44,3.0,1957,2023,True,3.8244514106583063
4,GALIANO NORTH,BRITISH COLUMBIA,10130MN,55,48.99,-123.57,6.0,1975,2021,False,80.7105538140021
5,MALAHAT,BRITISH COLUMBIA,1014820,65,48.57,-123.53,365.8,1920,2023,True,7.251828631138976
6,METCHOSIN,BRITISH COLUMBIA,1015105,68,48.37,-123.56,164.0,1911,2023,False,84.07523510971787
7,NORTH COWICHAN,BRITISH COLUMBIA,1015628,76,48.82,-123.72,45.7,1981,2023,False,66.68756530825496
8,NORTH COWICHAN,BRITISH COLUMBIA,1015630,46728,48.82,-123.72,44.8,2007,2023,True,3.636363636363636
9,NORTH PENDER ISLAND,BRITISH COLUMBIA,1015638,77,48.76,-123.29,98.0,1972,2023,True,16.30094043887147
10,PORT RENFREW,BRITISH COLUMBIA,1016335,82,48.59,-124.33,10.0,1970,2022,False,50.114942528735625
11,RACE ROCKS,BRITISH COLUMBIA,1016640,10943,48.3,-123.53,7.4,1994,2023,False,39.226750261233015
12,SAANICHTON CDA,BRITISH COLUMBIA,1016940,87,48.62,-123.42,61.0,1914,2023,False,39.62382445141066
13,SAANICHTON CFIA,BRITISH COLUMBIA,1016943,54641,48.62,-123.42,61.0,2020,2023,True,3.197492163009404
14,SALTSPRING ST MARY'S L,BRITISH COLUMBIA,1016995,93,48.89,-123.55,45.7,1975,2022,False,57.61755485893417
15,SAANICHTON MT NEWTON,BRITISH COLUMBIA,1016RM0,78,48.6,-123.43,42.7,1980,2023,False,66.75026123301986
